X,dXdt,Phi,Temp_K,,,,
0.99498863,4.1239593E+01,5.000000 ,514.969269,,,,
0.9951002,4.1277496E+01,5.000000 ,514.749269,,,,
0.99521116,4.0830312E+01,5.000000 ,514.519265,,,,
0.99532063,4.0158847E+01,5.000000 ,514.29926,,,,
0.99542716,3.8713719E+01,5.000000 ,514.069248,,,,
0.99552997,3.7439180E+01,5.000000 ,513.849238,,,,
0.9956298,3.6682302E+01,5.000000 ,513.619232,,,,
0.9957278,3.5850281E+01,5.000000 ,513.399225,,,,
0.99582401,3.5634965E+01,5.000000 ,513.169223,,,,
0.99592067,3.5907770E+01,5.000000 ,512.949225,,,,
0.99601764,3.5853012E+01,5.000000 ,512.719224,,,,
0.99611423,3.5686948E+01,5.000000 ,512.499222,,,,
0.99620989,3.4997725E+01,5.000000 ,512.269216,,,,
0.99630263,3.3486641E+01,5.000000 ,512.049204,,,,
0.99639047,3.1600336E+01,5.000000 ,511.81919,,,,
0.99647377,3.0127904E+01,5.000000 ,511.599179,,,,
0.9965534,2.8914198E+01,5.000000 ,511.379169,,,,
0.9966311,2.8695584E+01,5.000000 ,511.149167,,,,
0.99670929,2.9402628E+01,5.000000 ,510.919172,,,,
0.99679046,3.0680034E+01,5.000000 ,510.699181,,,,
0.99687471,3.1743205E+01,5.000000 ,510.469188,,,,
0.99696186,3.2691601E+01,5.000000 ,510.249194,,,,
0.99705124,3.3719737E+01,5.000000 ,510.019201,,,,
0.99714216,3.3213896E+01,5.000000 ,509.799197,,,,
0.99723095,3.2653775E+01,5.000000 ,509.569192,,,,
0.99731824,3.1931953E+01,5.000000 ,509.349187,,,,
0.99740262,3.0431914E+01,5.000000 ,509.119175,,,,
0.99748265,2.8830531E+01,5.000000 ,508.899162,,,,
0.99755827,2.7192429E+01,5.000000 ,508.66915,,,,
0.99762944,2.5600007E+01,5.000000 ,508.449138,,,,
0.99769652,2.4145024E+01,5.000000 ,508.229126,,,,
0.99776039,2.3329413E+01,5.000000 ,507.99912,,,,
0.99782307,2.3220821E+01,5.000000 ,507.769119,,,,
0.99788584,2.3332569E+01,5.000000 ,507.549119,,,,
0.99794989,2.4273024E+01,5.000000 ,507.319125,,,,
0.9980169,2.5342136E+01,5.000000 ,507.099133,,,,
0.99808634,2.6088798E+01,5.000000 ,506.869138,,,,
0.99815726,2.6353909E+01,5.000000 ,506.649139,,,,
0.99822788,2.5868545E+01,5.000000 ,506.419135,,,,
0.99829539,2.3401784E+01,5.000000 ,506.199116,,,,
0.99835395,2.0188854E+01,5.000000 ,505.969092,,,,
0.9984059,1.8245354E+01,5.000000 ,505.749077,,,,
0.99845266,1.6547238E+01,5.000000 ,505.529065,,,,
0.99849603,1.5718266E+01,5.000000 ,505.299058,,,,
0.99853835,1.5695371E+01,5.000000 ,505.069057,,,,
0.99858135,1.6146912E+01,5.000000 ,504.84906,,,,
0.99862588,1.6870668E+01,5.000000 ,504.619065,,,,
0.99867273,1.7895520E+01,5.000000 ,504.399072,,,,
0.99872202,1.8438184E+01,5.000000 ,504.169075,,,,
0.99877217,1.8696487E+01,5.000000 ,503.949077,,,,
0.9988222,1.8215410E+01,5.000000 ,503.719073,,,,
0.99887001,1.7232815E+01,5.000000 ,503.499065,,,,
0.99891554,1.6521749E+01,5.000000 ,503.26906,,,,
0.9989597,1.6272484E+01,5.000000 ,503.049057,,,,
1.98E-06,1.8361009E+00,10.000000 ,595.846408,,,,
4.78E-06,2.8056914E+00,10.000000 ,595.646401,,,,
8.96E-06,4.2820097E+00,10.000000 ,595.446398,,,,
1.50E-05,5.7962347E+00,10.000000 ,595.246394,,,,
2.29E-05,7.3496311E+00,10.000000 ,595.046391,,,,
4.46E-05,1.0814418E+01,10.000000 ,594.636387,,,,
5.86E-05,1.2597774E+01,10.000000 ,594.436386,,,,
7.48E-05,1.4367900E+01,10.000000 ,594.236384,,,,
9.30E-05,1.5957346E+01,10.000000 ,594.036382,,,,
1.13E-04,1.7246713E+01,10.000000 ,593.836376,,,,
1.58E-04,1.9862900E+01,10.000000 ,593.436367,,,,
1.82E-04,2.0891497E+01,10.000000 ,593.236361,,,,
2.08E-04,2.1517684E+01,10.000000 ,593.036351,,,,
2.33E-04,2.1199329E+01,10.000000 ,592.836334,,,,
2.58E-04,2.0144762E+01,10.000000 ,592.646313,,,,
3.06E-04,1.9987045E+01,10.000000 ,592.246283,,,,
3.30E-04,2.0380679E+01,10.000000 ,592.046272,,,,
3.55E-04,2.0538013E+01,10.000000 ,591.836258,,,,
3.79E-04,2.0763769E+01,10.000000 ,591.636245,,,,
4.05E-04,2.1792402E+01,10.000000 ,591.446239,,,,
