X,dXdt,Phi,Temp_K,,,,
0.9380779,1.4388528E+03,5.000000 ,566.215402,,,,
0.94057031,1.3304647E+03,5.000000 ,566.065127,,,,
0.94287774,1.2339482E+03,5.000000 ,565.914882,,,,
0.94501576,1.1409441E+03,5.000000 ,565.764646,,,,
0.94699401,1.0629693E+03,5.000000 ,565.614447,,,,
0.94884791,9.9687151E+02,5.000000 ,565.464278,,,,
0.95058264,9.3119909E+02,5.000000 ,565.314109,,,,
0.95220682,8.7380706E+02,5.000000 ,565.163961,,,,
0.95372779,8.1664465E+02,5.000000 ,565.013814,,,,
0.95514792,7.6165086E+02,5.000000 ,564.863672,,,,
0.95646993,7.0695148E+02,5.000000 ,564.71353,,,,
0.95770058,6.6182186E+02,5.000000 ,564.563413,,,,
0.9588613,6.2894950E+02,5.000000 ,564.413325,,,,
0.95996589,5.9801108E+02,5.000000 ,564.253243,,,,
0.96101559,5.6878288E+02,5.000000 ,564.113165,,,,
0.96201376,5.4034278E+02,5.000000 ,563.953088,,,,
0.96296159,5.1304735E+02,5.000000 ,563.813015,,,,
0.96386145,4.8684774E+02,5.000000 ,563.662944,,,,
0.96471567,4.6231370E+02,5.000000 ,563.512878,,,,
0.96552663,4.3887479E+02,5.000000 ,563.362814,,,,
0.96629682,4.1710344E+02,5.000000 ,563.212754,,,,
0.96702923,3.9699587E+02,5.000000 ,563.062699,,,,
0.96772696,3.7853563E+02,5.000000 ,562.912647,,,,
0.96839308,3.6171610E+02,5.000000 ,562.7626,,,,
0.96902967,3.4595397E+02,5.000000 ,562.612555,,,,
0.96964068,3.3294940E+02,5.000000 ,562.462517,,,,
0.97022991,3.2206178E+02,5.000000 ,562.312485,,,,
0.97080052,3.1215397E+02,5.000000 ,562.162454,,,,
0.97135515,3.0420778E+02,5.000000 ,562.012429,,,,
0.97189592,2.9678658E+02,5.000000 ,561.862405,,,,
0.97242448,2.9083618E+02,5.000000 ,561.712385,,,,
0.97294301,2.8522133E+02,5.000000 ,561.562365,,,,
0.97345224,2.8081011E+02,5.000000 ,561.412349,,,,
0.97395445,2.7711167E+02,5.000000 ,561.262334,,,,
0.97444969,2.7299643E+02,5.000000 ,561.112318,,,,
0.9749373,2.6873896E+02,5.000000 ,560.962302,,,,
0.97541743,2.6491214E+02,5.000000 ,560.812287,,,,
0.97589173,2.6180582E+02,5.000000 ,560.662274,,,,
0.97635883,2.5709506E+02,5.000000 ,560.502256,,,,
0.97681632,2.5118409E+02,5.000000 ,560.352236,,,,
0.97726311,2.4534173E+02,5.000000 ,560.202216,,,,
0.97769903,2.3870376E+02,5.000000 ,560.052194,,,,
0.97812198,2.3119250E+02,5.000000 ,559.90217,,,,
0.97853078,2.2311754E+02,5.000000 ,559.762145,,,,
0.97892533,2.1541612E+02,5.000000 ,559.61212,,,,
0.97930636,2.0787974E+02,5.000000 ,559.462096,,,,
0.97967423,2.0092068E+02,5.000000 ,559.312074,,,,
0.98003062,1.9516580E+02,5.000000 ,559.162054,,,,
0.98037682,1.8948551E+02,5.000000 ,559.012035,,,,
0.98071321,1.8406370E+02,5.000000 ,558.862016,,,,
0.98103933,1.7822187E+02,5.000000 ,558.711996,,,,
0.98135614,1.7411506E+02,5.000000 ,558.561981,,,,
0.98166731,1.7188165E+02,5.000000 ,558.41197,,,,
0.98197503,1.6989122E+02,5.000000 ,558.26196,,,,
0.98227924,1.6803094E+02,5.000000 ,558.11195,,,,
0.98257974,1.6620192E+02,5.000000 ,557.96194,,,,
0.98287833,1.6568542E+02,5.000000 ,557.811934,,,,
0.98317513,1.6354754E+02,5.000000 ,557.661923,,,,
0.98346653,1.5993422E+02,5.000000 ,557.511909,,,,
0.98375093,1.5639589E+02,5.000000 ,557.361895,,,,
0.98403031,1.5417023E+02,5.000000 ,557.211885,,,,
0.9843057,1.5167849E+02,5.000000 ,557.061873,,,,
0.98457635,1.4899081E+02,5.000000 ,556.911861,,,,
0.98484293,1.4739227E+02,5.000000 ,556.761852,,,,
0.98510815,1.4721838E+02,5.000000 ,556.611847,,,,
0.98537278,1.4666672E+02,5.000000 ,556.46184,,,,
0.98563584,1.4558378E+02,5.000000 ,556.311833,,,,
0.98589723,1.4486991E+02,5.000000 ,556.161826,,,,
0.98615734,1.4449101E+02,5.000000 ,556.01182,,,,
0.98641635,1.4305785E+02,5.000000 ,555.861811,,,,
0.98667241,1.4127741E+02,5.000000 ,555.711802,,,,
0.98692483,1.3918662E+02,5.000000 ,555.551791,,,,
